County,Town,City,Seat
Middlesex,Wakefield ,,
Middlesex,WALTHAM,c,
Middlesex,WATERTOWN,c,
Middlesex,Wayland ,,
Middlesex,Westford ,,
Middlesex,Weston ,,
Middlesex,Wilmington ,,
Middlesex,Winchester ,,
Middlesex,WOBURN,c,
Nantucket,Nantucket,,s
Norfolk,Avon ,,
Norfolk,Bellingham ,,
Norfolk,BRAINTREE,c,
Norfolk,Brookline ,,
Norfolk,Canton ,,
Norfolk,Cohasset ,,
Norfolk,Dedham,,s 
Norfolk,Dover ,,
Norfolk,Foxborough ,,
Norfolk,FRANKLIN,c,
Norfolk,Holbrook ,,
Norfolk,Medfield ,,
Norfolk,Medway ,,
Norfolk,Millis ,,
Norfolk,Milton ,,
Norfolk,Needham ,,
Norfolk,Norfolk ,,
Norfolk,Norwood ,,
Norfolk,Plainville ,,
Norfolk,QUINCY,c,
Norfolk,RANDOLPH,c,
Norfolk,Sharon ,,
Norfolk,Stoughton ,,
Norfolk,Walpole ,,
Norfolk,Wellesley ,,
Norfolk,Westwood ,,
Norfolk,WEYMOUTH,c,
Norfolk,Wrentham ,,
Plymouth,Abington ,,
Plymouth,Bridgewater,c,
Plymouth,BROCKTON,c,s
Plymouth,Carver ,,
Plymouth,Duxbury ,,
Plymouth,East Bridgewater ,,
Plymouth,Halifax ,,
Plymouth,Hanover ,,
Plymouth,Hanson ,,
Plymouth,Hingham ,,
Plymouth,Hull ,,
Plymouth,Kingston ,,
Plymouth,Lakeville ,,
Plymouth,Marion ,,
Plymouth,Marshfield ,,
Plymouth,Mattapoisett ,,
Plymouth,Middleborough ,,
Plymouth,Norwell ,,
Plymouth,Pembroke ,,
Plymouth,Plymouth,,s 
Plymouth,Plympton ,,
Plymouth,Rochester ,,
Plymouth,Rockland ,,
Plymouth,Scituate ,,
Plymouth,Wareham ,,
Plymouth,West Bridgewater ,,
Plymouth,Whitman ,,
Suffolk,BOSTON,c,s
Suffolk,CHELSEA,c,
Suffolk,REVERE,c,
Suffolk,WINTHROP,c,
Worcester,Ashburnham ,,
Worcester,Athol ,,
Worcester,Auburn ,,
Worcester,Barre ,,
Worcester,Berlin ,,
Worcester,Blackstone ,,
Worcester,Bolton ,,
Worcester,Boylston ,,
Worcester,Brookfield ,,
Worcester,Charlton ,,
Worcester,Clinton ,,
Worcester,Douglas ,,
Worcester,Dudley ,,
Worcester,East Brookfield ,,
Worcester,FITCHBURG,c,s
Worcester,GARDNER,c,
Worcester,Grafton ,,
Worcester,Hardwick ,,
Worcester,Harvard ,,
Worcester,Holden ,,
Worcester,Hopedale ,,
Worcester,Hubbardston ,,
Worcester,Lancaster ,,
Worcester,Leicester ,,
Worcester,LEOMINSTER,c ,
Worcester,Lunenburg ,,
Worcester,Mendon ,,
Worcester,Milford ,,
Worcester,Millbury ,,
Worcester,Millville ,,
Worcester,New Braintree ,,
Worcester,North Brookfield ,,
Worcester,Northborough ,,
Worcester,Northbridge ,,
Worcester,Oakham ,,
Worcester,Oxford ,,
Worcester,Paxton ,,
Worcester,Petersham ,,
Worcester,Phillipston ,,
Worcester,Princeton ,,
Worcester,Royalston ,,
Worcester,Rutland ,,
Worcester,Shrewsbury ,,
Worcester,Southborough ,,
Worcester,SOUTHBRIDGE,c,
Worcester,Spencer ,,
Worcester,Sterling ,,
Worcester,Sturbridge ,,
Worcester,Sutton ,,
Worcester,Templeton ,,
Worcester,Upton ,,
Worcester,Uxbridge ,,
Worcester,Warren ,,
Worcester,Webster ,,
Worcester,West Boylston ,,
Worcester,West Brookfield ,,
Worcester,Westborough ,,
Worcester,Westminster ,,
Worcester,Winchendon ,,
Worcester,WORCESTER,c,s 
