Date,Town,Cases,Rate
6/3/2020,Medford,994,1634.48
6/3/2020,Medway,113,863.92
6/3/2020,Melrose,239,826.36
6/3/2020,Mendon,27,466.07
6/3/2020,Merrimac,34,532.08
6/3/2020,Methuen,939,1753.47
6/3/2020,Middleborough,258,958.33
6/3/2020,Middlefield,0,0
6/3/2020,Middleton,160,1550.49
6/3/2020,Milford,617,2105.57
6/3/2020,Millbury,205,1501.05
6/3/2020,Millis,47,595.26
6/3/2020,Millville,15,422.45
6/3/2020,Milton,295,1030.4
6/3/2020,Monroe,0,0
6/3/2020,Monson,34,403.07
6/3/2020,Montague,25,292.45
6/3/2020,Monterey,0,0
6/3/2020,Montgomery,,
6/3/2020,Mount Washington,0,0
6/3/2020,Nahant,39,1191.96
6/3/2020,Nantucket,13,114.64
6/3/2020,Natick,412,1146.91
6/3/2020,Needham,318,1084.87
6/3/2020,New Ashford,0,0
6/3/2020,New Bedford,1910,1918.54
6/3/2020,New Braintree,,
6/3/2020,New Marlborough,6,392.17
6/3/2020,New Salem,,
6/3/2020,Newbury,13,195.53
6/3/2020,Newburyport,81,454.96
6/3/2020,Newton,760,828.54
6/3/2020,Norfolk,24,194.4
6/3/2020,North Adams,46,352.3
6/3/2020,North Andover,326,1077.74
6/3/2020,North Attleborough,248,820.78
6/3/2020,North Brookfield,14,301.29
6/3/2020,North Reading,184,1112.81
6/3/2020,Northampton,269,920.24
6/3/2020,Northborough,220,1606.92
6/3/2020,Northbridge,304,1690.36
6/3/2020,Northfield,,
6/3/2020,Norton,126,634.35
6/3/2020,Norwell,119,1111.64
6/3/2020,Norwood,563,1869.67
6/3/2020,Oak Bluffs,5,96.73
6/3/2020,Oakham,6,283.98
6/3/2020,Orange,39,477.78
6/3/2020,Orleans,16,283.29
6/3/2020,Otis,,
6/3/2020,Oxford,67,486.12
6/3/2020,Palmer,45,378.33
6/3/2020,Paxton,31,626.36
6/3/2020,Peabody,947,1698.18
6/3/2020,Pelham,,
6/3/2020,Pembroke,89,476.62
6/3/2020,Pepperell,49,398.99
6/3/2020,Peru,,
6/3/2020,Petersham,7,552.57
6/3/2020,Phillipston,15,875.04
6/3/2020,Pittsfield,168,379.42
6/3/2020,Plainfield,,
6/3/2020,Plainville,64,701.47
6/3/2020,Plymouth,545,878.52
6/3/2020,Plympton,9,301.1
6/3/2020,Princeton,6,183.92
6/3/2020,Provincetown,22,838.46
6/3/2020,Quincy,1107,1094.52
6/3/2020,Randolph,912,2665.18
6/3/2020,Raynham,227,1519.71
6/3/2020,Reading,291,1058.8
6/3/2020,Rehoboth,58,459.74
6/3/2020,Revere,1667,2736.54
6/3/2020,Richmond,5,376.53
6/3/2020,Rochester,33,585.36
6/3/2020,Rockland,284,1574.59
6/3/2020,Rockport,76,1159.56
6/3/2020,Rowe,0,0
6/3/2020,Rowley,39,631.72
6/3/2020,Royalston,,
6/3/2020,Russell,11,582.93
6/3/2020,Rutland,52,577.2
6/3/2020,Salem,607,1348.33
6/3/2020,Salisbury,51,576.88
6/3/2020,Sandisfield,,
6/3/2020,Sandwich,90,427.86
6/3/2020,Saugus,526,1850.46
6/3/2020,Savoy,,
6/3/2020,Scituate,173,954.67
6/3/2020,Seekonk,76,542.77
6/3/2020,Sharon,142,775.5
6/3/2020,Sheffield,15,485.9
6/3/2020,Shelburne,8,432.6
6/3/2020,Sherborn,13,338.78
6/3/2020,Shirley,173,2052.42
6/3/2020,Shrewsbury,307,779.21
6/3/2020,Shutesbury,,
6/3/2020,Somerset,197,1064.43
6/3/2020,Somerville,882,1152.36
6/3/2020,South Hadley,137,756.94
6/3/2020,Southampton,29,482.89
6/3/2020,Southborough,40,411.41
6/3/2020,Southbridge,133,789.63
6/3/2020,Southwick,48,490.13
6/3/2020,Spencer,48,416.66
6/3/2020,Springfield,2573,1625.06
6/3/2020,Sterling,114,1447.92
6/3/2020,Stockbridge,14,802.96
6/3/2020,Stoneham,363,1627.51
6/3/2020,Stoughton,591,2136.85
6/3/2020,Stow,28,388.36
6/3/2020,Sturbridge,36,344.76
6/3/2020,Sudbury,188,1050.05
6/3/2020,Sunderland,9,236.75
6/3/2020,Sutton,51,567.64
6/3/2020,Swampscott,123,897.37
6/3/2020,Swansea,126,789
6/3/2020,Taunton,934,1630.62
6/3/2020,Templeton,119,1332.44
6/3/2020,Tewksbury,574,1864.2
6/3/2020,Tisbury,7,168.21
6/3/2020,Tolland,,
6/3/2020,Topsfield,110,1882.29
6/3/2020,Townsend,30,327.91
6/3/2020,Truro,9,455.74
6/3/2020,Tyngsborough,86,717.21
6/3/2020,Tyringham,,
6/3/2020,Upton,24,265.46
6/3/2020,Uxbridge,67,434.69
6/3/2020,Wakefield,299,1107.21
6/3/2020,Wales,,
