2022-05-06 Abington 177 985.47
2022-05-06 Acton 95 400.3
2022-05-06 Acushnet 47 449.61
2022-05-06 Adams 32 386.44
2022-05-06 Agawam 333 1164.16
2022-05-06 Alford 0 0
2022-05-06 Amesbury 156 937.2
2022-05-06 Amherst 60 148.16
2022-05-06 Andover 210 583.09
2022-05-06 Aquinnah 0 0
2022-05-06 Arlington 248 541.38
2022-05-06 Ashburnham 17 270.7
2022-05-06 Ashby 8 231.38
2022-05-06 Ashfield <5 *
2022-05-06 Ashland 145 743.86
2022-05-06 Athol 41 342.66
2022-05-06 Attleboro 480 1037.44
2022-05-06 Auburn 152 921.64
2022-05-06 Avon 56 1278.34
2022-05-06 Ayer 45 556.93
2022-05-06 Barnstable 238 530.71
2022-05-06 Barre 42 755.7
2022-05-06 Becket 11 610.96
2022-05-06 Bedford 190 1275.48
2022-05-06 Belchertown 69 433.34
2022-05-06 Bellingham 96 537.02
2022-05-06 Belmont 182 666.52
2022-05-06 Berkley 41 604.7
2022-05-06 Berlin 14 438.43
2022-05-06 Bernardston 6 286.94
2022-05-06 Beverly 440 1068.83
2022-05-06 Billerica 401 920.08
2022-05-06 Blackstone 29 320.64
2022-05-06 Blandford 0 0
2022-05-06 Bolton 10 197.92
2022-05-06 Boston 10729 1543.81
2022-05-06 Bourne 124 592.73
2022-05-06 Boxborough 19 372
2022-05-06 Boxford 30 388.74
2022-05-06 Boylston 13 289.61
2022-05-06 Braintree 668 1697.17
2022-05-06 Brewster 91 918.05
2022-05-06 Bridgewater 287 1008.89
2022-05-06 Brimfield <5 *
2022-05-06 Brockton 3179 3235.68
2022-05-06 Brookfield 8 218.48
2022-05-06 Brookline 308 478.38
2022-05-06 Buckland 7 376.25
2022-05-06 Burlington 201 727.12
2022-05-06 Cambridge 826 732.36
2022-05-06 Canton 239 1036.22
2022-05-06 Carlisle 9 188.73
2022-05-06 Carver 38 312.08
2022-05-06 Charlemont 0 0
2022-05-06 Charlton 45 319.78
2022-05-06 Chatham 10 170.76
2022-05-06 Chelmsford 283 786.51
2022-05-06 Chelsea 2244 5957.85
2022-05-06 Cheshire <5 *
2022-05-06 Chester 5 368.42
2022-05-06 Chesterfield <5 *
2022-05-06 Chicopee 288 505.13
2022-05-06 Chilmark <5 *
2022-05-06 Clarksburg 7 415.82
2022-05-06 Clinton 135 959.13
2022-05-06 Cohasset 20 270.29
2022-05-06 Colrain <5 *
2022-05-06 Concord 133 710.28
2022-05-06 Conway <5 *
2022-05-06 Cummington <5 *
2022-05-06 Dalton 7 107.33
2022-05-06 Danvers 539 1887.53
2022-05-06 Dartmouth 205 556.77
2022-05-06 Dedham 290 1069.13
2022-05-06 Deerfield 6 112.52
2022-05-06 Dennis 54 408.36
2022-05-06 Dighton 44 560.81
2022-05-06 Douglas 29 308.52
2022-05-06 Dover 14 268.65
2022-05-06 Dracut 349 1080.32
2022-05-06 Dudley 57 460.28
