Date,Town,Case,Rate
4/14/2020,Methuen,273,509.79
4/14/2020,Middleborough,51,199.44
4/14/2020,Middlefield,0,0.00
4/14/2020,Middleton,64,620.20
4/14/2020,Milford,71,242.29
4/14/2020,Millbury,60,439.33
4/14/2020,Millis,18,227.97
4/14/2020,Millville,,
4/14/2020,Milton,112,391.20
4/14/2020,Monroe,0,0.00
4/14/2020,Monson,10,110.55
4/14/2020,Montague,10,116.98
4/14/2020,Monterey,0,0.00
4/14/2020,Montgomery,,
4/14/2020,Mount Washington,0,0.00
4/14/2020,Nahant,24,733.51
4/14/2020,Nantucket,9,79.37
4/14/2020,Natick,114,317.35
4/14/2020,Needham,114,388.92
4/14/2020,New Ashford,0,0.00
4/14/2020,New Bedford,165,165.74
4/14/2020,New Braintree,,
4/14/2020,New Marlborough,,
4/14/2020,New Salem,0,0
4/14/2020,Newbury,,
4/14/2020,Newburyport,30,168.50
4/14/2020,Newton,337,367.39
4/14/2020,Norfolk,14,113.40
4/14/2020,North Adams,29,222.10
4/14/2020,North Andover,88,290.92
4/14/2020,North Attleborough,71,234.98
4/14/2020,North Brookfield,,
4/14/2020,North Reading,46,278.20
4/14/2020,Northampton,59,201.04
4/14/2020,Northborough,48,350.60
4/14/2020,Northbridge,76,422.59
4/14/2020,Northfield,,
4/14/2020,Norton,47,236.62
4/14/2020,Norwell,30,280.25
4/14/2020,Norwood,229,760.49
4/14/2020,Oak Bluffs,,
4/14/2020,Oakham,,
4/14/2020,Orange,23,281.77
4/14/2020,Orleans,9,159.35
4/14/2020,Otis,,
4/14/2020,Oxford,15,108.83
4/14/2020,Palmer,12,100.89
4/14/2020,Paxton,8,161.64
4/14/2020,Peabody,227,407.06
4/14/2020,Pelham,,
4/14/2020,Pembroke,30,160.66
4/14/2020,Pepperell,15,122.14
4/14/2020,Peru,,
4/14/2020,Petersham,,
4/14/2020,Phillipston,7,408.35
4/14/2020,Pittsfield,111,250.69
4/14/2020,Plainfield,0,0
4/14/2020,Plainville,22,241.13
4/14/2020,Plymouth,108,174.09
4/14/2020,Plympton,,
4/14/2020,Princeton,,
4/14/2020,Provincetown,18,686.01
4/14/2020,Quincy,369,364.84
4/14/2020,Randolph,367,1012.50
4/14/2020,Raynham,84,562.36
4/14/2020,Reading,78,283.80
4/14/2020,Rehoboth,19,150.60
4/14/2020,Revere,470,171.55
4/14/2020,Richmond,5,376.53
4/14/2020,Rochester,7,124.17
4/14/2020,Rockland,64,354.84
4/14/2020,Rockport,15,228.86
4/14/2020,Rowe,0,0.00
4/14/2020,Rowley,10,161.98
4/14/2020,Royalston,,
4/14/2020,Russell,7,370.95
4/14/2020,Rutland,16,177.60
4/14/2020,Salem,181,402.06
4/14/2020,Salisbury,12,135.74
4/14/2020,Sandisfield,,
4/14/2020,Sandwich,50,237.70
4/14/2020,Saugus,137,481.96
4/14/2020,Savoy,,
4/14/2020,Scituate,49,270.40
4/14/2020,Seekonk,26,195.68
4/14/2020,Sharon,57,311.29
4/14/2020,Sheffield,9,291.54
4/14/2020,Shelburne,6,324.45
4/14/2020,Sherborn,,
4/14/2020,Shirley,15,177.96
4/14/2020,Shrewsbury,98,248.74
4/14/2020,Shutesbury,,
4/14/2020,Somerset,34,183.71
4/14/2020,Somerville,290,365.83
4/14/2020,South Hadley,38,209.95
4/14/2020,Southampton,19,3
4/14/2020,Southborough,21,215.99
4/14/2020,Southbridge,31,184.05
4/14/2020,Southwick,16,163.38
4/14/2020,Spencer,8,69.44
4/14/2020,Springfield,542,342.32
4/14/2020,Sterling,14,117.82
4/14/2020,Stockbridge,6,344.13
4/14/2020,Stoneham,129,578.37
4/14/2020,Stoughton,194,701.44
4/14/2020,Stow,7,97.09
4/14/2020,Sturbridge,17,162.80
4/14/2020,Sudbury,34,189.90
4/14/2020,Sunderland,5,131.53
4/14/2020,Sutton,18,200.34
4/14/2020,Swampscott,60,437.74
4/14/2020,Swansea,27,169.07
4/14/2020,Taunton,247,431.22
4/14/2020,Templeton,34,380.70
4/14/2020,Tewksbury,129,418.96
4/14/2020,Tisbury,,
4/14/2020,Tolland,0,0.00
4/14/2020,Topsfield,16,273.79
4/14/2020,Townsend,11,120.23
4/14/2020,Truro,8,405.10
4/14/2020,Tyngsborough,40,333.59
4/14/2020,Tyringham,,
4/14/2020,Upton,11,121.67
4/14/2020,Uxbridge,20,129.76
4/14/2020,Wakefield,119,440.66
4/14/2020,Wales,,
4/14/2020,Walpole,92,355.20
4/14/2020,Waltham,298,447.05
4/14/2020,Ware,10,98.63
4/14/2020,Wareham,34,141.96
4/14/2020,Warren,,
4/14/2020,Warwick,0,0.00
4/14/2020,Washington,,
4/14/2020,Watertown,110,331.60
4/14/2020,Wayland,26,195.75
4/14/2020,Webster,35,203.59
4/14/2020,Wellesley,75,252.23
4/14/2020,Wellfleet,,
4/14/2020,Wendell,0,0.00
4/14/2020,Wenham,7,134.46
4/14/2020,West Boylston,17,216.56
4/14/2020,West Bridgewater,26,358.74
4/14/2020,West Brookfield,5,134.79
4/14/2020,West Newbury,,
4/14/2020,West Springfield,110,313.42
4/14/2020,West Stockbridge,,
4/14/2020,West Tisbury,5,173.43
4/14/2020,Westborough,72,382.12
4/14/2020,Westfield,202,485.83
4/14/2020,Westford,50,216.08
4/14/2020,Westhampton,,
4/14/2020,Westminster,10,136.39
4/14/2020,Weston,56,504.79
4/14/2020,Westport,13,79.11
4/14/2020,Westwood,48,325.66
4/14/2020,Weymouth,267,476.25
4/14/2020,Whately,,
4/14/2020,Whitman,52,337.23
4/14/2020,Wilbraham,42,288.81
4/14/2020,Williamsburg,5,202.69
4/14/2020,Williamstown,74,1004.24
4/14/2020,Wilmington,140,574.40
4/14/2020,Winchendon,32,297.77
4/14/2020,Winchester,37,165.74
4/14/2020,Windsor,0,0.00
4/14/2020,Winthrop,81,429.77
4/14/2020,Woburn,117,281.99
4/14/2020,Worcester,886,461.77
4/14/2020,Worthington,0,0.00
4/14/2020,Wrentham,29,257.22
4/14/2020,Yarmouth,42,174.03
4/14/2020,Unknown,506,
4/14/2020,State Total,28163,487.76
4/22/2020,Abington,78,434.28
4/22/2020,Acton,50,210.68
4/22/2020,Acushnet,18,172.19
4/22/2020,Adams,29,350.21
4/22/2020,Agawam,244,853.02
4/22/2020,Alford,0,0
4/22/2020,Amesbury,32,192.25
4/22/2020,Amherst,16,39.51
4/22/2020,Andover,85,236.01
