6/17/2020,Lexington,322,945.8
6/17/2020,Leyden,0,0
6/17/2020,Lincoln,38,439.16
6/17/2020,Littleton,99,1018.71
6/17/2020,Longmeadow,213,1373.33
6/17/2020,Lowell,2807,2402.05
6/17/2020,Ludlow,124,594.32
6/17/2020,Lunenburg,61,586.15
6/17/2020,Lynn,3548,3516.24
6/17/2020,Lynnfield,93,798.35
6/17/2020,Malden,1211,1787.36
6/17/2020,Manchester,20,404.34
6/17/2020,Mansfield,163,689.62
6/17/2020,Marblehead,228,1186.41
6/17/2020,Marion,13,280.14
6/17/2020,Marlborough,966,2223.81
6/17/2020,Marshfield,164,634.2
6/17/2020,Mashpee,60,390.17
6/17/2020,Mattapoisett,34,588.09
6/17/2020,Maynard,69,661.26
6/17/2020,Medfield,36,315.78
6/17/2020,Medford,1014,1667.37
6/17/2020,Medway,117,894.5
6/17/2020,Melrose,240,829.81
6/17/2020,Mendon,30,517.86
6/17/2020,Merrimac,36,563.38
6/17/2020,Methuen,995,1858.04
6/17/2020,Middleborough,263,976.9
6/17/2020,Middlefield,0,0
6/17/2020,Middleton,163,1579.56
6/17/2020,Milford,636,2170.41
6/17/2020,Millbury,207,1515.7
6/17/2020,Millis,48,607.93
6/17/2020,Millville,19,535.1
6/17/2020,Milton,299,1044.37
6/17/2020,Monroe,0,0
6/17/2020,Monson,35,414.93
6/17/2020,Montague,27,315.84
6/17/2020,Monterey,0,0
6/17/2020,Montgomery,,
6/17/2020,Mount Washington,0,0
6/17/2020,Nahant,40,1222.52
6/17/2020,Nantucket,13,114.64
6/17/2020,Natick,412,1146.91
6/17/2020,Needham,328,1118.99
6/17/2020,New Ashford,0,0
6/17/2020,New Bedford,2052,2061.17
6/17/2020,New Braintree,,
6/17/2020,New Marlborough,7,457.53
6/17/2020,New Salem,,
6/17/2020,Newbury,14,210.57
6/17/2020,Newburyport,98,550.45
6/17/2020,Newton,765,833.99
6/17/2020,Norfolk,25,202.5
6/17/2020,North Adams,46,352.3
6/17/2020,North Andover,339,1120.71
6/17/2020,North Attleborough,249,824.09
6/17/2020,North Brookfield,16,344.33
6/17/2020,North Reading,187,1130.95
6/17/2020,Northampton,271,927.08
6/17/2020,Northborough,223,1628.83
6/17/2020,Northbridge,310,1723.72
6/17/2020,Northfield,,
6/17/2020,Norton,132,664.56
6/17/2020,Norwell,119,1111.64
6/17/2020,Norwood,568,1886.28
6/17/2020,Oak Bluffs,5,96.73
6/17/2020,Oakham,7,331.31
6/17/2020,Orange,40,490.03
6/17/2020,Orleans,16,283.29
6/17/2020,Otis,,
6/17/2020,Oxford,79,573.18
6/17/2020,Palmer,48,403.55
6/17/2020,Paxton,33,666.77
6/17/2020,Peabody,969,1737.62
6/17/2020,Pelham,,
6/17/2020,Pembroke,91,487.33
6/17/2020,Pepperell,52,423.42
6/17/2020,Peru,,
6/17/2020,Petersham,7,552.57
6/17/2020,Phillipston,15,875.04
6/17/2020,Pittsfield,171,386.2
6/17/2020,Plainfield,,
6/17/2020,Plainville,64,701.47
6/17/2020,Plymouth,595,959.12
6/17/2020,Plympton,11,368.01
6/17/2020,Princeton,6,183.92
6/17/2020,Provincetown,22,838.46
6/17/2020,Quincy,1120,1107.37
6/17/2020,Randolph,938,2741.17
6/17/2020,Raynham,237,1586.66
6/17/2020,Reading,293,1066.08
6/17/2020,Rehoboth,61,483.52
6/17/2020,Revere,1733,2844.89
6/17/2020,Richmond,5,376.53
6/17/2020,Rochester,34,603.09
6/17/2020,Rockland,281,1557.96
6/17/2020,Rockport,82,1251.11
6/17/2020,Rowe,0,0
6/17/2020,Rowley,54,874.69
6/17/2020,Royalston,,
6/17/2020,Russell,11,582.93
6/17/2020,Rutland,52,577.2
6/17/2020,Salem,620,1377.21
6/17/2020,Salisbury,52,588.2
6/17/2020,Sandisfield,,
6/17/2020,Sandwich,93,442.13
6/17/2020,Saugus,553,1945.44
6/17/2020,Savoy,,
6/17/2020,Scituate,184,1015.37
6/17/2020,Seekonk,81,578.48
6/17/2020,Sharon,150,819.19
6/17/2020,Sheffield,15,485.9
6/17/2020,Shelburne,8,432.6
6/17/2020,Sherborn,13,338.78
6/17/2020,Shirley,175,2076.17
6/17/2020,Shrewsbury,315,799.51
6/17/2020,Shutesbury,,
6/17/2020,Somerset,200,1080.64
6/17/2020,Somerville,921,1203.32
6/17/2020,South Hadley,142,784.57
6/17/2020,Southampton,30,499.54
6/17/2020,Southborough,41,421.69
6/17/2020,Southbridge,156,926.19
6/17/2020,Southwick,49,500.34
6/17/2020,Spencer,49,425.34
6/17/2020,Springfield,2697,1703.37
6/17/2020,Sterling,119,1511.43
6/17/2020,Stockbridge,14,802.96
6/17/2020,Stoneham,369,1654.42
6/17/2020,Stoughton,600,2169.39
6/17/2020,Stow,27,374.49
6/17/2020,Sturbridge,42,402.22
6/17/2020,Sudbury,194,1083.56
6/17/2020,Sunderland,9,236.75
6/17/2020,Sutton,53,589.9
6/17/2020,Swampscott,128,933.85
6/17/2020,Swansea,132,826.58
6/17/2020,Taunton,962,1679.51
6/17/2020,Templeton,122,1366.03
6/17/2020,Tewksbury,574,1864.2
6/17/2020,Tisbury,7,168.21
6/17/2020,Tolland,,
6/17/2020,Topsfield,112,1916.52
6/17/2020,Townsend,32,349.77
6/17/2020,Truro,10,506.37
6/17/2020,Tyngsborough,90,750.57
6/17/2020,Tyringham,,
6/17/2020,Upton,24,265.46
6/17/2020,Uxbridge,74,480.11
6/17/2020,Wakefield,309,1144.24
6/17/2020,Wales,,
6/17/2020,Walpole,231,891.87
6/17/2020,Waltham,1218,1827.2
6/17/2020,Ware,31,305.76
6/17/2020,Wareham,210,876.8
6/17/2020,Warren,22,405.76
6/17/2020,Warwick,0,0
6/17/2020,Washington,,
6/17/2020,Watertown,384,1157.58
6/17/2020,Wayland,106,798.07
6/17/2020,Webster,216,1256.47
6/17/2020,Wellesley,231,776.87
6/17/2020,Wellfleet,,
6/17/2020,Wendell,0,0
6/17/2020,Wenham,19,364.96
6/17/2020,West Boylston,43,547.76
6/17/2020,West Bridgewater,142,1959.29
6/17/2020,West Brookfield,18,485.23
6/17/2020,West Newbury,10,245.01
6/17/2020,West Springfield,360,1222.11
6/17/2020,West Stockbridge,5,418.16
6/17/2020,West Tisbury,7,242.81
6/17/2020,Westborough,336,1783.23
6/17/2020,Westfield,433,1041.41
6/17/2020,Westford,138,596.39
6/17/2020,Westhampton,5,293.92
6/17/2020,Westminster,32,436.43
6/17/2020,Weston,108,973.52
6/17/2020,Westport,96,576.79
6/17/2020,Westwood,121,820.93
6/17/2020,Weymouth,698,1245.02
6/17/2020,Whately,5,340.12
6/17/2020,Whitman,186,1206.24
6/17/2020,Wilbraham,221,1519.69
6/17/2020,Williamsburg,10,405.37
6/17/2020,Williamstown,82,1112.81
6/17/2020,Wilmington,326,1337.54
6/17/2020,Winchendon,88,818.86
6/17/2020,Winchester,115,515.15
6/17/2020,Windsor,0,0
6/17/2020,Winthrop,251,1331.76
6/17/2020,Woburn,613,1477.43
6/17/2020,Worcester,5112,2664.32
6/17/2020,Worthington,0,0
6/17/2020,Wrentham,191,1694.09
6/17/2020,Yarmouth,111,462.05
6/17/2020,Unknown,274,
6/17/2020,State Total,101654,1459.12
