2020-04-29 Abington 143 796.17
2020-04-29 Acton 74 311.81
2020-04-29 Acushnet 35 334.82
2020-04-29 Adams 32 386.44
2020-04-29 Agawam 317 1108.22
2020-04-29 Alford 0 0
2020-04-29 Amesbury 72 432.55
2020-04-29 Amherst 83 204.95
2020-04-29 Andover 158 438.7
2020-04-29 Aquinnah 0 0
2020-04-29 Arlington 218 475.89
2020-04-29 Ashburnham 16 254.78
2020-04-29 Ashby 8 231.38
2020-04-29 Ashfield <5 *
2020-04-29 Ashland 128 656.65
2020-04-29 Athol 38 317.59
2020-04-29 Attleboro 443 957.47
2020-04-29 Auburn 55 333.49
2020-04-29 Avon 48 1095.72
2020-04-29 Ayer 40 495.05
2020-04-29 Barnstable 187 416.99
2020-04-29 Barre 37 665.73
2020-04-29 Becket 11 610.96
2020-04-29 Bedford 152 1020.38
2020-04-29 Belchertown 62 389.38
2020-04-29 Bellingham 78 436.33
2020-04-29 Belmont 162 593.27
2020-04-29 Berkley 33 486.71
2020-04-29 Berlin 15 469.74
2020-04-29 Bernardston <5 *
2020-04-29 Beverly 363 881.78
2020-04-29 Billerica 346 793.89
2020-04-29 Blackstone 23 254.3
2020-04-29 Blandford 0 0
2020-04-29 Bolton 9 178.13
2020-04-29 Boston 9284 1335.89
2020-04-29 Bourne 121 578.39
2020-04-29 Boxborough 13 254.52
2020-04-29 Boxford 28 362.83
2020-04-29 Boylston 10 222.77
2020-04-29 Braintree 570 1448.18
2020-04-29 Brewster 87 877.69
2020-04-29 Bridgewater 183 643.3
2020-04-29 Brimfield <5 *
2020-04-29 Brockton 2735 2783.76
2020-04-29 Brookfield 6 163.86
2020-04-29 Brookline 263 408.48
2020-04-29 Buckland 7 376.25
2020-04-29 Burlington 173 625.83
2020-04-29 Cambridge 773 685.37
2020-04-29 Canton 219 949.5
2020-04-29 Carlisle 7 146.79
2020-04-29 Carver 26 213.53
2020-04-29 Charlemont 0 0
2020-04-29 Charlton 38 270.04
2020-04-29 Chatham 11 187.84
2020-04-29 Chelmsford 229 636.44
2020-04-29 Chelsea 1965 5217.1
2020-04-29 Cheshire <5 *
2020-04-29 Chester 6 442.11
2020-04-29 Chesterfield <5 *
2020-04-29 Chicopee 248 434.97
2020-04-29 Chilmark <5 *
2020-04-29 Clarksburg 7 415.82
2020-04-29 Clinton 87 618.11
2020-04-29 Cohasset 18 243.26
2020-04-29 Colrain <5 *
2020-04-29 Concord 117 624.83
2020-04-29 Conway <5 *
2020-04-29 Cummington <5 *
2020-04-29 Dalton 6 91.99
2020-04-29 Danvers 467 1635.39
2020-04-29 Dartmouth 161 437.27
2020-04-29 Dedham 239 881.11
2020-04-29 Deerfield 6 112.52
2020-04-29 Dennis 51 385.67
2020-04-29 Dighton 35 446.1
2020-04-29 Douglas 26 276.61
2020-04-29 Dover 14 268.65
2020-04-29 Dracut 296 916.26
2020-04-29 Dudley 40 323
2020-04-29 Dunstable 7 210.08
2020-04-29 Duxbury 47 310.57
2020-04-29 "East Bridgewater" 127 860.64
2020-04-29 "East Brookfield" 6 267.68
2020-04-29 "East Longmeadow" 178 1052.35
2020-04-29 Eastham 10 215.22
2020-04-29 Easthampton 50 308.38
2020-04-29 Easton 195 822.84
2020-04-29 Edgartown <5 *
2020-04-29 Egremont <5 *
2020-04-29 Erving <5 *
2020-04-29 Essex 15 403.15
2020-04-29 Everett 1004 2068.55
2020-04-29 Fairhaven 92 573.9
2020-04-29 "Fall River" 481 537.75
2020-04-29 Falmouth 124 396.78
2020-04-29 Fitchburg 238 564.61
2020-04-29 Florida <5 *
2020-04-29 Foxborough 77 425.11
2020-04-29 Framingham 816 1095.8
2020-04-29 Franklin 86 254.35
2020-04-29 Freetown 54 596.8
2020-04-29 Gardner 104 520.26
2020-04-29 Georgetown 29 324.61
2020-04-29 Gill <5 *
2020-04-29 Gloucester 143 499.56
2020-04-29 Goshen <5 *
2020-04-29 Gosnold 0 0
2020-04-29 Grafton 52 260.73
2020-04-29 Granby 18 293.09
2020-04-29 Granville 8 514.04
2020-04-29 "Great Barrington" 46 676.89
2020-04-29 Greenfield 157 904.15
2020-04-29 Groton 22 188.92
2020-04-29 Groveland 14 204.87
2020-04-29 Hadley 27 469.54
2020-04-29 Halifax 25 327.17
2020-04-29 Hamilton 21 280.97
2020-04-29 Hampden 16 323.84
2020-04-29 Hancock <5 *
2020-04-29 Hanover 44 307.16
2020-04-29 Hanson 66 616.43
2020-04-29 Hardwick <5 *
2020-04-29 Harvard 14 202.1
2020-04-29 Harwich 36 286.55
2020-04-29 Hatfield 8 246.37
2020-04-29 Haverhill 600 911.22
2020-04-29 Hawley 0 0
2020-04-29 Heath 0 0
2020-04-29 Hingham 148 622.17
2020-04-29 Hinsdale <5 *
2020-04-29 Holbrook 135 1195.21
2020-04-29 Holden 50 265.1
2020-04-29 Holland 5 195.29
2020-04-29 Holliston 34 246.65
2020-04-29 Holyoke 596 1446.45
2020-04-29 Hopedale 17 299.35
2020-04-29 Hopkinton 108 661.99
2020-04-29 Hubbardston <5 *
2020-04-29 Hudson 99 472.63
2020-04-29 Hull 32 324
