Date,Town,Case,Rate
6/24/2020,Medfield,36,315.78
6/24/2020,Medford,1020,1677.23
6/24/2020,Medway,118,902.14
6/24/2020,Melrose,242,836.73
6/24/2020,Mendon,30,517.86
6/24/2020,Merrimac,36,563.38
6/24/2020,Methuen,1004,1874.85
6/24/2020,Middleborough,264,980.62
6/24/2020,Middlefield,0,0
6/24/2020,Middleton,163,1579.56
6/24/2020,Milford,641,2187.47
6/24/2020,Millbury,210,1537.66
6/24/2020,Millis,48,607.93
6/24/2020,Millville,19,535.1
6/24/2020,Milton,300,1047.86
6/24/2020,Monroe,0,0
6/24/2020,Monson,36,426.78
6/24/2020,Montague,28,327.54
6/24/2020,Monterey,0,0
6/24/2020,Montgomery,,
6/24/2020,Mount Washington,0,0
6/24/2020,Nahant,40,1222.52
6/24/2020,Nantucket,13,114.64
6/24/2020,Natick,413,1149.7
6/24/2020,Needham,329,1122.4
6/24/2020,New Ashford,0,0
6/24/2020,New Bedford,2095,2104.36
6/24/2020,New Braintree,,
6/24/2020,New Marlborough,7,457.53
6/24/2020,New Salem,,
6/24/2020,Newbury,13,195.53
6/24/2020,Newburyport,97,544.83
6/24/2020,Newton,767,836.17
6/24/2020,Norfolk,27,218.7
6/24/2020,North Adams,46,352.3
6/24/2020,North Andover,340,1124.02
6/24/2020,North Attleborough,252,834.02
6/24/2020,North Brookfield,16,344.33
6/24/2020,North Reading,187,1130.95
6/24/2020,Northampton,273,933.93
6/24/2020,Northborough,223,1628.83
6/24/2020,Northbridge,311,1729.29
6/24/2020,Northfield,,
6/24/2020,Norton,133,669.59
6/24/2020,Norwell,121,1130.32
6/24/2020,Norwood,576,1912.84
6/24/2020,Oak Bluffs,5,96.73
6/24/2020,Oakham,7,331.31
6/24/2020,Orange,40,490.03
6/24/2020,Orleans,16,283.29
6/24/2020,Otis,,
6/24/2020,Oxford,80,580.44
6/24/2020,Palmer,48,403.55
6/24/2020,Paxton,33,666.77
6/24/2020,Peabody,976,1750.18
6/24/2020,Pelham,,
6/24/2020,Pembroke,92,492.69
6/24/2020,Pepperell,52,423.42
6/24/2020,Peru,,
6/24/2020,Petersham,7,552.57
6/24/2020,Phillipston,15,875.04
6/24/2020,Pittsfield,174,392.97
6/24/2020,Plainfield,,
6/24/2020,Plainville,64,701.47
6/24/2020,Plymouth,598,963.96
6/24/2020,Plympton,11,368.01
6/24/2020,Princeton,6,183.92
6/24/2020,Provincetown,22,838.46
6/24/2020,Quincy,1129,1116.27
6/24/2020,Randolph,942,2752.86
6/24/2020,Raynham,238,1593.35
6/24/2020,Reading,296,1076.99
6/24/2020,Rehoboth,62,491.44
6/24/2020,Revere,1748,2869.51
6/24/2020,Richmond,5,376.53
6/24/2020,Rochester,34,603.09
6/24/2020,Rockland,283,1569.05
6/24/2020,Rockport,82,1251.11
6/24/2020,Rowe,0,0
6/24/2020,Rowley,58,939.49
6/24/2020,Royalston,,
6/24/2020,Russell,11,582.93
6/24/2020,Rutland,53,588.3
6/24/2020,Salem,625,1388.32
6/24/2020,Salisbury,52,588.2
6/24/2020,Sandisfield,,
6/24/2020,Sandwich,94,446.87
6/24/2020,Saugus,556,1956
6/24/2020,Savoy,,
6/24/2020,Scituate,186,1026.4
6/24/2020,Seekonk,82,585.62
6/24/2020,Sharon,154,841.04
6/24/2020,Sheffield,15,485.9
6/24/2020,Shelburne,8,432.6
6/24/2020,Sherborn,14,364.84
6/24/2020,Shirley,177,2099.87
6/24/2020,Shrewsbury,317,804.59
6/24/2020,Shutesbury,,
6/24/2020,Somerset,201,1086.04
6/24/2020,Somerville,951,1242.51
6/24/2020,South Hadley,144,795.62
6/24/2020,Southampton,30,499.54
