date,town,cases, rate
2020-05-13,Medway,99,756.88
2020-05-13,Melrose,206,712.26
2020-05-13,Mendon,22,379.76
2020-05-13,Merrimac,23,359.94
2020-05-13,Methuen,737,1376.26
2020-05-13,Middleborough,221,820.89
2020-05-13,Middlefield,0,0
2020-05-13,Middleton,132,1279.15
2020-05-13,Milford,525,1791.61
2020-05-13,Millbury,173,1266.74
2020-05-13,Millis,43,544.6
2020-05-13,Millville,13,366.12
2020-05-13,Milton,271,946.57
2020-05-13,Monroe,0,0
2020-05-13,Monson,26,308.23
2020-05-13,Montague,23,269.05
2020-05-13,Monterey,0,0
2020-05-13,Montgomery,,
2020-05-13,Mount Washington,0,0
2020-05-13,Nahant,34,1039.14
2020-05-13,Nantucket,12,105.82
2020-05-13,Natick,349,971.53
2020-05-13,Needham,292,996.17
2020-05-13,New Ashford,0,0
2020-05-13,New Bedford,1241,1246.55
2020-05-13,New Braintree,,
2020-05-13,New Marlborough,,
2020-05-13,New Salem,0,0
2020-05-13,Newbury,7,105.28
2020-05-13,Newburyport,56,314.54
2020-05-13,Newton,675,735.87
2020-05-13,Norfolk,23,186.3
2020-05-13,North Adams,45,344.64
2020-05-13,North Andover,248,819.87
2020-05-13,North Attleborough,214,708.26
2020-05-13,North Brookfield,11,236.73
2020-05-13,North Reading,166,1003.95
2020-05-13,Northampton,238,814.19
2020-05-13,Northborough,171,1249.01
2020-05-13,Northbridge,235,1306.69
2020-05-13,Northfield,,
2020-05-13,Norton,113,568.9
2020-05-13,Norwell,105,980.86
2020-05-13,Norwood,462,1534.26
2020-05-13,Oak Bluffs,,
2020-05-13,Oakham,,
2020-05-13,Orange,34,416.52
2020-05-13,Orleans,15,265.58
2020-05-13,Otis,,
2020-05-13,Oxford,42,304.73
2020-05-13,Palmer,36,302.66
2020-05-13,Paxton,23,464.72
2020-05-13,Peabody,809,1450.71
2020-05-13,Pelham,,
2020-05-13,Pembroke,68,364.16
2020-05-13,Pepperell,39,317.57
2020-05-13,Peru,,
2020-05-13,Petersham,5,394.7
2020-05-13,Phillipston,12,700.03
2020-05-13,Pittsfield,147,331.99
2020-05-13,Plainfield,0,0
2020-05-13,Plainville,51,558.98
2020-05-13,Plymouth,424,683.47
2020-05-13,Plympton,8,267.64
2020-05-13,Princeton,,
2020-05-13,Provincetown,21,800.34
2020-05-13,Quincy,970,959.06
2020-05-13,Randolph,787,2299.89
2020-05-13,Raynham,206,1379.12
2020-05-13,Reading,247,898.71
2020-05-13,Rehoboth,44,348.77
2020-05-13,Revere,1403,2303.16
2020-05-13,Richmond,5,376.53
2020-05-13,Rochester,22,390.24
2020-05-13,Rockland,246,1363.91
2020-05-13,Rockport,72,1098.53
2020-05-13,Rowe,0,0
2020-05-13,Rowley,31,502.14
2020-05-13,Royalston,,
2020-05-13,Russell,8,423.95
2020-05-13,Rutland,37,410.7
2020-05-13,Salem,492,1092.88
2020-05-13,Salisbury,45,509.02
2020-05-13,Sandisfield,,
