Date,Town,Cases,Rate
7/15/2020,Manchester,20,404.34
7/15/2020,Mansfield,166,702.3107879
7/15/2020,Marblehead,240,1248.860759
7/15/2020,Marion,13,280.14
7/15/2020,Marlborough,1000,2302.080402
7/15/2020,Marshfield,171,661.2640828
7/15/2020,Mashpee,67,435.6884375
7/15/2020,Mattapoisett,37,639.98
7/15/2020,Maynard,71,680.4234286
7/15/2020,Medfield,39,342.0915789
7/15/2020,Medford,1047,1721.634803
7/15/2020,Medway,120,917.4352941
7/15/2020,Melrose,255,881.6805668
7/15/2020,Mendon,31,535.122
7/15/2020,Merrimac,35,547.73
7/15/2020,Methuen,1050,1960.744898
7/15/2020,Middleborough,269,999.1855556
7/15/2020,Middlefield,0,#DIV/0!
7/15/2020,Middleton,169,1637.701078
7/15/2020,Milford,652,2225.012596
7/15/2020,Millbury,215,1574.272196
7/15/2020,Millis,50,633.255102
7/15/2020,Millville,22,619.5828571
7/15/2020,Milton,307,1072.31577
7/15/2020,Monroe,0,#DIV/0!
7/15/2020,Monson,42,497.9153846
7/15/2020,Montague,29,339.24
7/15/2020,Monterey,,
7/15/2020,Montgomery,,
7/15/2020,Mount Washington,0,#DIV/0!
7/15/2020,Nahant,40,1222.52
7/15/2020,Nantucket,22,194.0168421
7/15/2020,Natick,421,1171.967542
7/15/2020,Needham,334,1139.461562
7/15/2020,New Ashford,0,#DIV/0!
7/15/2020,New Bedford,2167,2176.684692
7/15/2020,New Braintree,,
7/15/2020,New Marlborough,7,457.53
7/15/2020,New Salem,,
7/15/2020,Newbury,14,210.57
7/15/2020,Newburyport,101,567.2935354
7/15/2020,Newton,776,845.9805433
7/15/2020,Norfolk,28,226.8
7/15/2020,North Adams,47,359.9586957
7/15/2020,North Andover,358,1183.521098
7/15/2020,North Attleborough,263,870.428062
7/15/2020,North Brookfield,18,387.3811765
7/15/2020,North Reading,193,1167.237865
7/15/2020,Northampton,282,964.7109609
7/15/2020,Northborough,224,1636.13
7/15/2020,Northbridge,312,1734.85
7/15/2020,Northfield,,
7/15/2020,Norton,137,689.729037
7/15/2020,Norwell,123,1149.011557
7/15/2020,Norwood,584,1939.413655
7/15/2020,Oak Bluffs,6,116.08
7/15/2020,Oakham,7,331.31
7/15/2020,Orange,42,514.5307317
7/15/2020,Orleans,16,283.29
7/15/2020,Otis,,
7/15/2020,Oxford,81,587.6945122
7/15/2020,Palmer,52,437.1848
7/15/2020,Paxton,33,666.77
7/15/2020,Peabody,1013,1816.528601
7/15/2020,Pelham,,
7/15/2020,Pembroke,94,503.4006522
7/15/2020,Pepperell,53,431.5626923
7/15/2020,Peru,,
7/15/2020,Petersham,7,552.57
7/15/2020,Phillipston,16,933.38
7/15/2020,Pittsfield,186,420.0794413
7/15/2020,Plainfield,,
7/15/2020,Plainville,65,712.43
7/15/2020,Plymouth,606,976.8521311
7/15/2020,Plympton,11,368.01
7/15/2020,Princeton,6,183.92
7/15/2020,Provincetown,22,838.46
7/15/2020,Quincy,1167,1153.845836
7/15/2020,Randolph,967,2825.918272
7/15/2020,Raynham,240,1606.74477
7/15/2020,Reading,304,1106.104
7/15/2020,Rehoboth,63,499.37
7/15/2020,Revere,1838,3017.257954
7/15/2020,Richmond,5,376.53
7/15/2020,Rochester,38,674.0481081
7/15/2020,Rockland,284,1574.591329
7/15/2020,Rockport,82,1251.11
7/15/2020,Rowe,0,#DIV/0!
7/15/2020,Rowley,62,1004.273898
7/15/2020,Royalston,,
7/15/2020,Russell,16,847.8971429
7/15/2020,Rutland,54,599.4
7/15/2020,Salem,641,1423.855212
7/15/2020,Salisbury,55,622.1330189
7/15/2020,Sandisfield,,
7/15/2020,Sandwich,97,461.138
7/15/2020,Saugus,562,1977.109946
7/15/2020,Savoy,,
7/15/2020,Scituate,194,1070.553263
7/15/2020,Seekonk,86,614.1868293
7/15/2020,Sharon,160,873.8012579
7/15/2020,Sheffield,15,485.9
7/15/2020,Shelburne,8,432.6
7/15/2020,Sherborn,15,390.9
7/15/2020,Shirley,177,2099.87
7/15/2020,Shrewsbury,331,840.1206442
7/15/2020,Shutesbury,,
7/15/2020,Somerset,206,1113.056373
7/15/2020,Somerville,978,1277.785705
7/15/2020,South Hadley,150,828.7653061
7/15/2020,Southampton,31,516.19
7/15/2020,Southborough,44,452.5504762
7/15/2020,Southbridge,171,1015.244201
7/15/2020,Southwick,55,561.6009259
7/15/2020,Spencer,52,451.3796226
7/15/2020,Springfield,2919,1843.584297
7/15/2020,Sterling,122,1549.53
7/15/2020,Stockbridge,14,802.96
7/15/2020,Stoneham,392,1757.534021
7/15/2020,Stoughton,621,2245.322626
7/15/2020,Stow,27,374.49
7/15/2020,Sturbridge,43,411.79
7/15/2020,Sudbury,199,1111.490761
7/15/2020,Sunderland,9,236.75
7/15/2020,Sutton,50,556.51
7/15/2020,Swampscott,136,992.2171429
7/15/2020,Swansea,136,851.6219259
7/15/2020,Taunton,992,1731.882645
7/15/2020,Templeton,124,1388.43
7/15/2020,Tewksbury,597,1938.895034
7/15/2020,Tisbury,10,240.3125
7/15/2020,Tolland,,
7/15/2020,Topsfield,116,1984.96
7/15/2020,Townsend,35,382.56
7/15/2020,Truro,10,506.37
7/15/2020,Tyngsborough,95,792.2693548
7/15/2020,Tyringham,,
7/15/2020,Upton,25,276.5208333
7/15/2020,Uxbridge,78,506.06
7/15/2020,Wakefield,321,1188.67519
7/15/2020,Wales,,
7/15/2020,Walpole,238,918.8917797
7/15/2020,Waltham,1252,1878.201448
7/15/2020,Ware,33,325.48
7/15/2020,Wareham,216,901.8456338
7/15/2020,Warren,24,442.6434783
7/15/2020,Warwick,0,#DIV/0!
7/15/2020,Washington,,
7/15/2020,Watertown,396,1193.749036
7/15/2020,Wayland,109,820.6589815
7/15/2020,Webster,263,1529.872023
7/15/2020,Wellesley,239,803.7730672
7/15/2020,Wellfleet,5,181.25
7/15/2020,Wendell,0,#DIV/0!
7/15/2020,Wenham,20,384.1684211
7/15/2020,West Boylston,48,611.4530233
7/15/2020,West Bridgewater,141,1945.497857
7/15/2020,West Brookfield,22,593.0621053
7/15/2020,West Newbury,10,245.01
7/15/2020,West Springfield,391,1327.346472
7/15/2020,West Stockbridge,5,418.16
7/15/2020,West Tisbury,11,381.546
7/15/2020,Westborough,336,1783.237254
7/15/2020,Westfield,466,1120.775488
7/15/2020,Westford,145,626.6416667
7/15/2020,Westhampton,5,293.92
7/15/2020,Westminster,33,450.0684375
7/15/2020,Weston,112,1009.574054
7/15/2020,Westport,100,600.82
7/15/2020,Westwood,132,895.5637209
7/15/2020,Weymouth,735,1311.013223
7/15/2020,Whately,5,340.12
7/15/2020,Whitman,190,1232.185185
7/15/2020,Wilbraham,226,1554.076444
